account,date,trades_count,gross_pnl,avg_pnl,sentiment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-17,28,115.824682,4.136595785714285,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-18,36,45.659497,1.2683193611111112,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,22,20.62415,0.9374613636363637,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-20,53,278.142839,5.247978094339622,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-21,93,591.659533,6.361930462365591,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-22,58,408.03639799999996,7.035110310344827,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-23,24,39.91436,1.6630983333333333,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-24,61,180.244855,2.95483368852459,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-25,49,168.27053,3.434092448979592,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-26,34,64.59776,1.8999341176470586,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-27,30,71.919819,2.3973273,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-28,81,-3425.450348,-42.2895104691358,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,69,250.581483,3.6316156956521737,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,75,439.634046,5.861787280000001,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,58,494.669357,8.52878201724138,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,85,149.51234499999998,1.758968764705882,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-13,22,465.046501,21.138477318181817,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-14,4,0.0,0.0,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-16,27,106.912886,3.9597365185185187,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-17,2,0.0,0.0,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-18,15,40.9165,2.7277666666666667,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-19,33,54.9718,1.6658121212121213,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-20,20,144.656157,7.23280785,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-21,12,0.5844,0.0487,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-22,17,132.087931,7.769878294117647,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-23,14,79.086899,5.649064214285715,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-24,45,808.135252,17.958561155555557,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-25,33,417.38885700000003,12.648147181818183,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-26,35,379.04079,10.829736857142857,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-27,38,-133.035992,-3.500947157894737,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-28,41,-21.766132,-0.5308812682926829,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-29,15,28.499012000000004,1.8999341333333335,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-30,44,-743.288757,-16.892926295454547,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-31,52,3.5652170000000005,0.0685618653846154,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,81,232.66549799999999,2.872413555555555,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,48,1291.500575,26.90626197916667,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,43,163.73415,3.807770930232558,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,100,498.73528200000004,4.987352820000001,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-13,19,-902.0714839999999,-47.47744652631579,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-14,14,27.177561,1.941254357142857,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-15,17,-48.794434,-2.870260823529412,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-16,9,8.738942,0.9709935555555556,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-17,10,-15.688322,-1.5688322,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-18,8,22.793679,2.849209875,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-19,7,40.803149000000005,5.829021285714286,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-20,2,7.707293999999999,3.8536469999999996,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-21,6,19.956089,3.3260148333333333,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-22,5,11.839106000000001,2.3678212000000003,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-23,13,50.899228,3.915325230769231,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-24,1,1.023851,1.023851,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-27,1,0.265698,0.265698,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-28,8,-0.08516699999999999,-0.010645874999999999,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,82,87.752181,1.0701485487804878,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-02,83,696.8107239999999,8.395309927710843,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-03,26,437.35445200000004,16.821325076923078,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-04,56,177.049662,3.1616011071428574,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-01,80,114.68421000000001,1.4335526250000001,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-02,45,358.877096,7.9750465777777775,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-03,21,291.46926,13.879488571428572,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-06-04,74,-476.77056300000004,-6.442845445945946,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-07-01,103,267.846227,2.6004488058252426,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-07-02,54,932.4458159999999,17.26751511111111,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-07-03,40,411.824274,10.29560685,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-07-04,150,-19833.530157,-132.22353438000002,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-08-01,149,651.469355,4.37227755033557,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-08-02,32,0.0,0.0,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-08-03,35,173.811132,4.966032342857143,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-08-04,65,230.103259,3.5400501384615386,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-09-01,103,571.688942,5.550378077669903,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-09-02,17,31.14195,1.831879411764706,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-09-03,36,140.953497,3.9153749166666665,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-09-04,53,94.077376,1.7750448301886792,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-10-01,84,401.706348,4.782218428571428,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-10-02,43,436.833818,10.158926000000001,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-10-03,31,-4026.754395,-129.89530306451613,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-10-04,22,73.76740699999999,3.3530639545454544,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-11-01,37,157.228232,4.249411675675676,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-11-02,41,593.326371,14.471374902439024,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-11-03,24,0.0,0.0,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-11-04,14,67.00618399999999,4.786155999999999,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-12-01,63,274.773033,4.361476714285714,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-12-02,59,198.780392,3.3691591864406782,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-12-03,9,33.01095,3.6678833333333336,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-12-04,3,10.499265,3.499755,75.0
